Stop_Code_LBSL,Bus_Stop_Code,Naptan_Atco,Stop_Name,Location_Easting,Location_Northing,Heading,Stop_Area,Virtual_Bus_Stop
10001,72689,490013793E,TREVOR CLOSE,515781,174783,78,NB16,0
10002,48461,490000108F,HIGHBURY CORNER,531614,184603,5,C902,0
10003,77150,490000108B,HIGHBURY & ISLINGTON STATION <> #,531573,184786,127,C903,0
10004,48037,490012451S,ST MARY MAGDALENE CHURCH,531403,184942,136,C904,0
10005,57538,490012451N,ST MARY MAGDALENE CHURCH,531328,185009,322,C904,0
10010,48458,490000114Y,HOLLOWAY ROAD STATION <>,531014,185403,140,C703,0
10011,58713,490000114U,HOLLOWAY ROAD STATION <>,530939,185465,321,C703,0
10014,71829,490009485R,LYNWOOD ROAD,517950,182729,99,QT08,0
10015,54595,490009485Q,LYNWOOD ROAD,517907,182704,278,QT08,0
10016,71358,490003803W,WOOLWICH ROAD / BEDONWELL ROAD,548180,177996,254,E609,0
10017,53343,490003803E,WOOLWICH ROAD / BEDONWELL ROAD,548036,177997,88,E609,0
10019,54840,490011348E,QUEENS ROAD,521827,168125,83,K306,0
10023,47747,490012751E,ST JOSEPH'S CHURCH,521080,168163,106,K302,0
10024,55564,490012751W,ST JOSEPH'S CHURCH,521017,168169,286,K302,0
10028,54775,490014411W,WESTBURY ROAD,520697,168304,294,K301,0
10031,54086,490006079E,ARCHDALE PLACE,519927,168691,124,K415,0
10032,48984,490003361W,CALIFORNIA ROAD,520074,168585,295,K415,0
10037,55215,490014286E,WATERS ROAD,519527,168967,130,K206,0
10038,49132,490004703W,CAMBRIDGE GROVE,519254,169156,299,K205,0
10041,48178,490014039E,VICARAGE HOUSE,518954,169281,101,K202,0
1005,73736,490001237G,RAYNES PARK STATION #,523241,169249,248,LG02,0
1007,52849,490012452W,KINGS ROAD,518686,175064,278,M814,0
1008,52652,490012452SH,ST MARY'S GROVE,518796,175063,103,M814,0
1010,55430,490005340K,CLAPTON POND,534857,185908,66,D908,0
10107,76125,3700083,CEDAR WAY,500333,178601,303,6Z11,0
1011,54763,490009035E,CLAPTON POND,534887,186004,168,D902,0
10111,77093,3700085,DITTON PARK ROAD,500753,178316,124,6Z10,0
1013,74398,490006047D,CHAPTER ROAD,522062,184972,319,R702,0
1014,53531,490004989C,CHAPTER ROAD,522046,185008,137,R702,0
1017,77744,490013229P,ST JOHN STREET / GOSWELL ROAD,531453,183089,349,C102,0
1019,50678,490004760T,CANONS CORNER,518335,192854,54,SD07,0
1023,55186,490013149K,TALLY HO CORNER,526317,192117,14,TU08,0
10240,56141,490000127KA,KILBURN PARK STATION <>,525408,183392,23,RC09,0
10241,72081,490000127KB,KILBURN PARK STATION <>,525381,183300,200,RC09,0
10242,50012,490013254J,FAIRLAWN AVENUE,527295,189380,186,TW02,0
10243,59162,490010117W,MULGRAVE ROAD,524679,177667,255,6D02,0
10244,50268,490007053E,FULHAM POOLS,524535,177622,66,6G06,0
10258,47901,490010101S,THIRLMERE GARDENS,507950,191964,119,PN05,0
1026,72076,490003351Q,QUEENS GROVE,526571,183570,11,0Q04,0
10260,71039,490007622M,HOMERTON HIGH ST / HACKNEY HOSPITAL,536020,185145,252,DD16,0
10261,55897,490007622L,HOMERTON HIGH ST / HACKNEY HOSPITAL,535998,185150,73,DD16,0
1027,73838,490011336S,QUEENS GROVE,526591,183569,163,0Q05,0
10281,53798,490001197A,MORDEN SOUTH STATION #,525286,167949,5,LC09,0
10282,56317,490001197B,MORDEN SOUTH STATION #,525298,167852,202,LC09,0
10283,72299,490004960N,CHALGROVE AVENUE,525191,167781,58,LE14,0
10284,55063,490004647E,BUSHEY ROAD / GRAND DRIVE,523147,169056,79,LG01,0
10287,48147,490004647N,BUSHEY ROAD,523244,168951,357,LG06,0
10288,57612,490004647S,BUSHEY ROAD,523258,168879,176,LG06,0
10289,72760,490009036S,LEA BRIDGE ROAD,536921,187624,150,YJ06,0
1029,72571,490013205W,THAMES AVENUE,550121,183083,287,WK06,0
10290,58626,490009668N,LEA BRIDGE ROAD,536889,187654,325,YJ06,0
10297,56388,490004188S,ST SAVIOUR'S CHURCH,536738,187903,153,YA04,0
1030,72331,490001014B,BARNES STATION #,522211,175652,217,M401,0
10300,59406,490011346N,QUEENS ROAD,536609,188269,356,YA03,0
10302,71309,490009667N,MARKHOUSE AVENUE,536560,188526,347,YA02,0
10303,56071,490009667S,MARKHOUSE AVENUE,536578,188491,167,YA02,0
10308,54143,490007974N,HAZELWOOD ROAD,536257,188881,318,YH12,0
10309,74646,490014166R,WALTHAMSTOW MARKET,536302,188834,156,YH12,0
1031,55951,490001014A,BARNES STATION #,522267,175737,38,M401,0
10313,58587,490009306S,LONGFIELD AVENUE,536069,189104,165,YH11,0
10316,50920,490000024A,BLACKHORSE ROAD STATION <> #,535855,189345,348,YH10,0
10317,73411,490000024B,BLACKHORSE ROAD STATION <> #,535861,189367,166,YH10,0
10318,54906,490004103N,BLENHEIM ROAD,535857,189755,351,YG03,0
10319,48960,490006928S,FOREST ROAD,535864,189465,205,YH09,0
10320,55452,490006928N,FOREST ROAD,535867,189518,20,YH09,0
10321,77849,490004103S,BLENHEIM ROAD,535904,189660,165,YG04,0
10324,55434,490012034N,WALTHAM FOREST COLLEGE,535857,190128,9,YG02,0
10325,52834,490011183S,PRIESTLEY WAY,535886,189904,190,YG03,0
10327,77138,490012034S,WALTHAM FOREST COLLEGE,535873,190136,183,YG02,0
10328,49402,490005353N,CLARENCE ROAD,535784,190307,347,YG01,0
10330,75429,490009019E,LAWRENCE AVENUE,535912,190708,89,Y510,0
10331,76183,490014940S,WORCESTER ROAD,535770,190461,165,Y511,0
10333,53754,490009019W,LAWRENCE AVENUE,535956,190699,269,Y510,0
10334,56904,490008134E,HIGHAM HILL ROAD,536098,190735,79,Y509,0
10337,56118,490008134W,HIGHAM HILL ROAD,536108,190722,259,Y509,0
10338,48643,490007597E,GUILDSWAY,536614,190824,87,Y507,0
10340,74874,490010345E,NORTH COUNTESS ROAD,536822,190825,88,Y506,0
10341,76593,490007597W,GUILDSWAY,536583,190813,266,Y507,0
10342,75441,490009759E,WALTHAMSTOW ACADEMY,537012,190868,67,Y505,0
10343,75778,490010345W,NORTH COUNTESS ROAD,536782,190809,265,Y506,0
10345,57148,490009759W,WALTHAMSTOW ACADEMY,537028,190857,246,Y505,0
10347,49767,490004905W,CECIL ROAD,537174,190909,259,Y504,0
10351,74998,3700077,KAYWOOD CLOSE,499482,179165,131,6Z14,0
10359,55458,490006616E,ERITH FIRE STATION,549767,178438,63,E513,0
10360,56127,490006616W,ERITH FIRE STATION,549808,178442,246,E513,0
10362,56616,490003959S,BEULAH SPA,532748,170084,152,HR06,0
10363,58665,490003959N,BEULAH SPA,532719,170115,332,HR06,0
10364,53488,490003497E,AVENUE ROAD,527416,183348,48,8G04,0
10365,73092,490003497W,AVENUE ROAD,527511,183406,235,8G04,0
1037,53342,490012521E,STAMFORD BROOK BUS GARAGE,521636,178587,77,NG02,0
1038,71601,490012521PP,STAMFORD BROOK BUS GARAGE,521620,178568,257,NG02,0
1039,51237,490005210SS,CHISWICK POLICE STATION,520905,178487,266,NG04,0
104,59457,490001108W,FENCHURCH STREET STATION #,533329,180989,243,1007,0
1040,76767,490005423FF,CLIFTON GARDENS,520773,178494,90,NG05,0
1041,77336,490012434HH,ST ANN'S ROAD,531763,188697,351,9A13,0
1042,52990,490012434HK,ST ANN'S ROAD,531756,188835,172,9A13,0
1043,58527,490013739M,PHILIP LANE,533739,189444,13,9D01,0
10439,55159,490007093W1,WOOLWICH ROAD / GALLIONS ROAD,540897,178446,261,GP05,0
1045,52812,490011849RB,SADLER'S WELLS THEATRE,531476,182834,211,C110,0
10458,52726,490008264S,ST MARY OF ETON CHURCH,536695,184772,176,DE01,0
10459,76775,490008264N,ST MARY OF ETON CHURCH,536683,184824,355,DE01,0
1046,54519,490011849RA,SADLER'S WELLS THEATRE,531467,182843,31,C110,0
10460,72310,490008109T,HESA ROAD,510501,180922,25,P102,0
10462,77778,490013979Q,THE GRAPES,510673,181129,208,P103,0
10464,71195,490006951N,FORTUNE GREEN,525100,185526,356,8B13,0
10465,71434,490014468S,WEST HAMPSTEAD POLICE STATION,525220,185397,129,8B12,0
10468,73028,490015102C,LEA BRIDGE ROAD / BAKERS ARMS,537871,188255,32,YD02,0
10469,77513,490015102D,LEA BRIDGE ROAD / BAKERS ARMS,537843,188198,220,YD02,0
1047,55837,490013485S1,THE OLD VIC,531368,179740,143,4304,0
1048,50694,490013485N,THE OLD VIC,531345,179734,323,4304,0
1049,58644,490000094B,GUNNERSBURY STATION <> #,519799,178464,81,NF07,0
1051,73188,490003269N,ALPHA CLOSE,527451,182506,313,0T05,0
1052,49244,490011716S,ROSSMORE ROAD,527604,182407,126,0T04,0
1054,54965,490006008W,DEAN STREET / CHINATOWN,529797,180925,237,0C06,0
1057,71271,490015239K,HOLBORN STATION <>,530640,181536,252,8016,0
10580,48232,490010001S,MONTPELIER ROAD,517584,181651,153,QS08,0
1059,49218,490010149J,NAPIER PLACE,524584,179096,315,7901,0
106,76770,490012357W2,SOUTHWARK TOWN HALL,533283,176714,269,3P06,0
1061,47857,490010305E,NORLAND SQUARE,524330,180094,69,7706,0
1062,51009,490000113G,HOLLAND PARK STATION <>,524595,180195,244,7801,0
1063,74899,490006437HE,EDITH GROVE,526132,177655,43,7F15,0
1064,53729,490007055HK,FULHAM ROAD / CHELSEA & WESTMINSTER HOSP,526146,177729,140,7F03,0
1065,74282,490006437HB,EDITH GROVE,526212,177722,228,7F15,0
1067,74955,490003726E,FULHAM ROAD / BEAUFORT STREET,526562,178085,42,7F17,0
1069,48108,490006514N,OLD CHURCH STREET,526724,178261,41,7C03,0
10690,52589,490015411N,SPUR ROAD / ORPINGTON WAR MEMORIAL,546166,165873,273,F707,0
10694,73356,490011165S,PRATTS BOTTOM / SEVENOAKS ROAD,547131,162667,186,F421,0
107,49574,490000119M,HYDE PARK CORNER STATION <>,528274,179818,250,0J05,0
1070,74835,490006514S,OLD CHURCH STREET,526702,178215,221,7C03,0
10705,52614,490015411L,SEVENOAKS ROAD / ORPINGTON WAR MEMORIAL,546076,165793,11,F706,0
1071,49984,490010603N,ONSLOW SQUARE,526985,178620,322,7C05,0
10715,75702,490014077E,VILLAGE GREEN ROAD,552042,175069,74,EE11,0
10716,57226,490013537W,THE RISE,551968,175037,253,EE12,0
10717,49819,490012543E,STANHAM PLACE,552394,175129,84,EE10,0
10719,75082,490013433S,THE JOLLY FARMERS OPEN SPACE,552522,175146,244,EE09,0
1072,52470,490010603S,ONSLOW SQUARE,526989,178635,142,7C05,0
10720,51040,490013433N,MILL PLACE,552615,175256,27,EE09,0
10721,49603,490010950W,PERRY STREET,551584,176098,269,EE19,0
10722,55185,490010950E,PERRY STREET,551617,176107,89,EE19,0
10723,52503,490006670W,EVERSLEY CROSS,551316,176093,269,ED11,0
10724,56047,490006670E,EVERSLEY CROSS,551278,176101,89,ED11,0
10725,77759,490009597W,NORTHALL ROAD / MANOR WAY,550463,176129,274,ED08,0
10726,77451,490009597E,PARKSIDE AVENUE / MANOR WAY,550723,176098,90,ED09,0
10729,75645,490010356W,BRIDGE ROAD / NORTHEND ROAD,551712,176489,250,E105,0
1073,76752,490010928E,PENTON STREET,531073,183104,81,C007,0
1074,49357,490010928W,PENTON STREET / CHAPEL MARKET,531164,183107,258,C007,0
1075,56776,490007598N,GUILFORD STREET,530828,182245,323,8801,0
1076,54383,490007598S,GUILFORD STREET,530787,182322,143,8801,0
1077,71366,490000123B,KENTISH TOWN STATION <> #,528990,185246,335,8K08,0
1078,75430,490000123A,KENTISH TOWN STATION <> #,529012,185118,185,8K08,0
10794,73705,490015290S,COOMBE ROAD,532621,164939,171,HC28,0
10795,56718,490015290N,COOMBE ROAD,532608,164915,354,HC28,0
10797,49354,490005575N,BIRDHURST GARDENS,533054,164687,31,HE09,0
10798,72199,490004026B,BIRDHURST ROAD / SOUTH CROYDON STATION #,533039,164261,114,HE11,0
10799,55814,490001258A,BIRDHURST ROAD / SOUTH CROYDON STATION #,532948,164290,290,HE11,0
1080,47253,490015396NK,NEWINGTON GREEN,532820,185381,14,CA02,0
10804,54305,490004802S2,CARLTON ROAD,532947,163532,176,HE26,0
10806,51493,490004802N,TWIN BRIDGES BUSINESS PARK,532935,163608,303,HE25,0
10807,74493,490004802S1,CARLTON ROAD,533012,163573,119,HE25,0
10808,77760,490005794E,CROHAM ROAD,532663,164229,344,HD10,0
1081,77826,490010224S3,ALBION ROAD,532793,185469,126,CA02,0
10811,59436,4.90E+24,ELECTRIC HOUSE,532519,165679,333,HC12,0
10813,48143,4.90E+23,WHITGIFT CENTRE,532444,165831,335,HC11,0
10814,75479,4.90E+19,WHITGIFT CENTRE,532432,165928,155,HC11,0
10816,76006,490011275C,PURLEY WAY / WADDON STATION #,530973,164850,263,H901,0
10817,52173,490011275D,PURLEY WAY / WADDON STATION #,530956,164861,83,H901,0
1082,49943,490019676NB,GREEN LANES,532855,185470,193,CA11,0
10820,53062,490013603C,PURLEY OAKS STATION #,532396,162905,207,H403,0
10821,72161,490013603N,PURLEY OAKS STATION #,532321,162781,27,H403,0
10824,75325,490011259G,PURLEY / DOWNLANDS PRECINCT,531352,161707,227,H511,0
10825,56739,490005236N,CHRISTCHURCH ROAD / PURLEY HOSPITAL,531508,161865,48,H513,0
10828,49076,490005574V,COOMBE ROAD,532424,164816,3,HC20,0
10829,50432,490005574S,COOMBE ROAD,532415,164953,164,HC21,0
1083,58305,490009224Z,LIVERPOOL ROAD,531119,185283,137,C702,0
10833,71688,490010864N,PASTEUR GARDENS,532570,192128,346,U502,0
10834,57879,490010864S,PASTEUR GARDENS,532599,192130,167,U502,0
10835,48321,490006564N,EMPIRE PARADE,532644,191812,353,U501,0
10836,49187,490006564S,EMPIRE PARADE,532674,191766,177,U501,0
10839,76029,490010323H,CHURCH HILL ROAD,523483,164970,323,JC08,0
1084,49908,490009224Y,LIVERPOOL ROAD,531145,185230,319,C702,0
10840,49495,490010323J,CHURCH HILL ROAD,523534,164918,142,JC08,0
10852,47321,490010753W,PARK AVENUE,530550,190781,297,9712,0
10856,75436,490003236W,ALLIANCE ROAD,519612,182238,276,Q403,0
10860,76955,490012359S,SOUTHWOOD AVENUE,528783,187935,147,9109,0
10864,48609,490007797N,HARINGEY CIVIC CENTRE,530894,190703,346,9705,0
10866,47410,490007797S,HARINGEY CIVIC CENTRE,530910,190702,166,9705,0
10868,74928,490004746S,CANNING CRESCENT,530852,190905,162,9706,0
1087,71108,490000052SB,CLAPHAM SOUTH STATION <>,528750,174295,85,5912,0
10871,50921,490003925S,BERKSHIRE GARDENS,530955,191645,193,U601,0
10872,57424,490003875N,BERKSHIRE GARDENS,530958,191728,9,U601,0
10875,48450,490010333W,TOTTENHALL ROAD,531004,191963,182,U602,0
10878,71522,490004486J,BROOMFIELD LANE,530970,192377,2,U604,0
10879,51198,490004486K,BROOMFIELD LANE,530985,192396,182,U604,0
1088,72201,490000052SA,CLAPHAM SOUTH STATION <>,528741,174281,265,5912,0
10880,53256,490010736G,PALMERS GREEN / THE TRIANGLE,530996,192606,6,U605,0
10881,47221,490009248C,LODGE DRIVE,531110,192821,26,U606,0
10883,75172,490006974A,FOX LANE,531172,192966,19,U607,0
10885,71425,490006974Z,FOX LANE,531220,193067,199,U607,0
10888,55929,490011855N,ST MONICA'S CHURCH,531418,193381,62,U701,0
